index,brand,id,name,price,size,capacity,processor,storage_type
42,LENOVO,10226945,"LENOVO IdeaPad 3 14"" Chromebook - MediaTek MT8183, 64 GB eMMC, Blue",159,14,64,MediaTek MT8183,eMMC
43,DELL,10226687,"DELL Inspiron 15 3502 15.6"" Laptop - Intel® Pentium®, 128 GB SSD, Black",309,15.6,128,Intel® Pentium®,SSD
44,LENOVO,10219058,"LENOVO IdeaPad 1i 14"" Laptop - Intel® Celeron™, 64 GB eMMC, Blue",159,14,64,Intel® Celeron™,eMMC
45,APPLE,10216305,"APPLE MacBook Pro 13.3"" (2020) - M1, 512 GB SSD, Space Grey",1319,13.3,512,M1,SSD
46,HP,10225093,"HP Stream 14s-dq0504sa 14"" Laptop - Intel® Celeron®, 64 GB eMMC, Black",259,14,64,Intel® Celeron®,eMMC
47,ACER,10212861,"ACER Aspire 5 A514-54 14"" Laptop - Intel® Core™ i3, 128 GB SSD, Silver",299,14,128,Intel® Core™ i3,SSD
48,ACER,10226985,"ACER Aspire 3 A314-22 14"" Laptop - AMD Ryzen 3, 128 GB SSD, Silver",299,14,128,AMD Ryzen 3,SSD
49,APPLE,10216316,"APPLE MacBook Pro 16"" (2021) - M1 Pro, 512 GB SSD, Silver",2234.98,16,512,M1 Pro,SSD
50,ACER,10224404,"ACER Aspire 5 A515-56G 15.6"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",549,15.6,512,Intel® Core™ i5,SSD
51,ACER,10212831,"ACER Aspire 5 A514-54 14"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver",599,14,1024,Intel® Core™ i7,SSD
52,HUAWEI,10230118,"HUAWEI MateBook D 15.6"" Laptop - Intel® Core™ i5, 512 GB SSD, Grey",499,15.6,512,Intel® Core™ i5,SSD
53,LENOVO,10225073,"LENOVO Yoga 7i 15.6"" 2 in 1 Laptop - Intel® Core™ i7, 1 TB SSD, Slate Grey",999,15.6,1024,Intel® Core™ i7,SSD
54,HP,10229545,"HP Pavilion 14-ec0537sa 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Blue",399,14,256,AMD Ryzen 5,SSD
55,APPLE,10216320,"APPLE MacBook Pro 14"" (2021) - M1 Pro, 1 TB SSD, Space Grey",2155,14,1024,M1 Pro,SSD
56,HP,10224978,"HP ENVY 17-ch0500sa 17.3"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver",1149,17.3,1024,Intel® Core™ i7,SSD
57,ASUS,10230044,"ASUS E510MA 15.6"" Laptop - Intel® Celeron®, 64 GB eMMC, Black",199,15.6,64,Intel® Celeron®,eMMC
58,HP,10212879,"HP Pavilion 14-dv0511sa 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver",479,14,256,Intel® Core™ i3,SSD
59,LENOVO,10225085,"LENOVO Yoga Slim 7i Pro 14"" Laptop - Intel® Core™ i7, 512 GB SSD, Grey",799,14,512,Intel® Core™ i7,SSD
60,ASUS,10224688,"ASUS ZenBook Duo UX482EA 14"" Laptop - Intel® Core™ i7, 512 GB SSD, Blue",1199,14,512,Intel® Core™ i7,SSD
61,ASUS,10234424,"ASUS VivoBook X515JA 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver",579,15.6,512,Intel® Core™ i7,SSD
62,HP,10226009,"HP Pavilion 14-dv0609sa 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Gold",299,14,128,Intel® Pentium® Gold,SSD
63,HP,10222240,"HP Pavilion x360 14-dy0517sa 14"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Silver",549,14,256,Intel® Core™ i5,SSD
64,HP,10229553,"HP Pavilion 14-dv1629sa 14"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver",489,14,512,Intel® Core™ i5,SSD
